OrderID,ReviewID,CustomerID,DateKey,ReviewScore,ReviewCommentMessage,ReviewCreationDate,ReviewAnswerTimestamp,ReviewResponseDays
937d5309f2f6bc3548d704f56ef83ed1,2cec2c7a5711c86d5827a5677adfb2a2,0738d18b6c59edcbd519a88a06569847,20180317,1,"O prazo de entrega do produto já venceu e não tenho retorno do fornecedor, e não consigo mais rastrea-lo.",2018-04-14 00:00:00,2018-04-14 15:58:33,0
db7f34935c2b818933171e61c031695c,62f4941bc98fa9a247e60f00da6d0644,e04f1a56c179e5072f239aa83ee0b5c7,20170609,5,,2017-06-20 00:00:00,2017-06-21 00:05:55,1
cd8676507ccbfc96f9e0908910b9e0bb,c5312e197bed58ccb51d461227258136,ab4764e19b0376c21427606045dc6ca9,20171129,5,Otimo produto. Chegou antes do prazo.,2017-12-14 00:00:00,2017-12-15 19:44:04,1
a5fec99e63565d20d4b127479d9947d4,1012de8ac2784a21bb0da7b22f5ac8ac,f0a83115db332c34b1c6de134a47e025,20170403,5,Amei o produto. Chegou antes do prazo. Parabéns pelo comprometimento de vcs. Até a pxm compra.,2017-04-18 00:00:00,2017-04-25 01:55:39,7
e677ab34eb52c66dd39e65b9aa84fe4c,a18507e945eedf114cf4ae1bed7fb458,34c1f8fa2e7d48d5f334b5f56702cde4,20171126,5,,2017-12-09 00:00:00,2017-12-13 01:17:39,4
75acfc4ebfc9ddb503a29002b31d8d80,999b4c9d6d75ee9137452018aa38745f,46b4935e012e89972a35d8c39ed05ac3,20180511,1,Comprei um produto de 180 reais e recebi um completamente de 50 reais. Um absurdo,2018-06-08 00:00:00,2018-06-09 00:27:26,1
304707f4c9c69f690f53f62b26f3e28e,73bde83ca5dd0356bef7e064ed0ee764,c9a54b9593e4b12f9906035913676e44,20170324,5,"O produto foi entregue bem antes do prazo,eu recomendo deu tudo certo o produto ótima qualidade",,,
e051052721cb64f972da9bf551be79e4,66f830cefba2ab2be5a92a9dd73a579b,86d55c1416082f5a565a05e62a32b091,20170919,1,,2017-10-11 00:00:00,2017-10-11 04:13:25,0
7754339dd17ecab14c20d6c51a7dd0f7,0075a2d9679333f94877be313684170b,413af08c0a0b10c69e1948e72debe635,20180225,5,,2018-03-09 00:00:00,2018-03-14 17:45:50,5
f351c922b3d5947bcadbeeab096796b8,ec6ac3d1848949b17ffdf3350f6ac1b0,259d4795add79a2b1ea46f0210db8766,20171108,4,,2017-11-25 00:00:00,2017-11-26 12:39:04,1
