OrderID,OrderItemID,CustomerID,ProductID,SellerID,DateKey,StatusID,ZipCodePrefix,OrderPurchaseTimestamp,OrderDeliveredCustomerDate,Price,FreightValue,TotalItemValue,ShippingDays,DeliveryDays,TotalDays,IsDelayed,DelayDays,IsCrossState,PaymentType
20f00734b9cedbed78661618c0deb7fd,2,e117a1572482e4564d02760fc7d18aca,f1e0c91e748d3ddfb2728c51078c2b08,4a3ca9315b744ce9f8e9374361493884,20180330,DELIVERED,11701,2018-03-30T18:06:39.000Z,2018-04-16T21:18:32.000Z,69.9,12.93,82.83000000000001,5,12,17,false,0,false,credit_card
20f00734b9cedbed78661618c0deb7fd,1,e117a1572482e4564d02760fc7d18aca,f1e0c91e748d3ddfb2728c51078c2b08,4a3ca9315b744ce9f8e9374361493884,20180330,DELIVERED,11701,2018-03-30T18:06:39.000Z,2018-04-16T21:18:32.000Z,69.9,12.93,82.83000000000001,5,12,17,false,0,false,credit_card
7042e0877cfb1a8fb8e4293126dae9f3,1,3d5558638c7f0b8edb724897e16c8d54,73326828aa5efe1ba096223de496f596,d13e50eaa47b4cbe9eb81465865d8cfc,20180819,DELIVERED,89295,2018-08-19T15:50:13.000Z,2018-08-24T12:32:56.000Z,80.9,18.67,99.57000000000001,0,4,5,false,0,true,credit_card
e6db6e9529fecbe14cd05dd349816656,1,6b3efc29f67766dd725bb29e857614f2,06ead9c0b05b368667d858c09148af03,b2ba3715d723d245138f291a6fe42594,20170106,DELIVERED,33400,2017-01-06T21:27:49.000Z,2017-01-13T13:57:29.000Z,109.9,14.94,124.84,3,4,7,false,0,true,credit_card
9797fc9d23d5187db0924184bc5cca44,2,1e9cb4f102332a9b99dc7d29d51c1962,dc52f0f5d3ec37a93eaf956cde4e5d2c,6560211a19b47992c3666cc44a7e94c0,20180823,DELIVERED,1454,2018-08-23T12:30:52.000Z,2018-08-27T15:22:10.000Z,49.0,1.46,50.46,1,3,4,false,0,false,credit_card
9797fc9d23d5187db0924184bc5cca44,1,1e9cb4f102332a9b99dc7d29d51c1962,27d089865ecb267c190122ec1feddb8a,6560211a19b47992c3666cc44a7e94c0,20180823,DELIVERED,1454,2018-08-23T12:30:52.000Z,2018-08-27T15:22:10.000Z,48.0,14.64,62.64,1,3,4,false,0,false,credit_card
fad4c51261e06a0f8a2309ee81747628,1,1def3b8c7e09cd6e5d61ea1144462d79,51f876eb62be778c757503cf7f8a3b74,f84a00e60c73a49e7e851c9bdca3a5bb,20180319,DELIVERED,8583,2018-03-19T11:23:31.000Z,2018-04-09T21:22:47.000Z,9.8,15.23,25.03,0,21,21,true,4,true,credit_card
dba8b25261a1f7f5e1f32b1203796812,1,a1b016bef8693b86fbc40d6773f8f29e,6d6bbd5f721f3f5c506907043b72b3b3,7b1222c3624aa89b9558b50a2594188c,20170428,DELIVERED,40353,2017-04-28T15:06:58.000Z,2017-05-19T10:44:39.000Z,729.99,27.04,757.03,6,15,21,false,0,true,credit_card
8b5a4b2799bee31ca06187259aea4da5,1,439e6151b191877b7f1b0441b6cdb1f4,a94036c0bb4dfce8d5762777c07b7be2,8160255418d5aaa7dbdc9f4c64ebda44,20180809,DELIVERED,12945,2018-08-09T19:53:41.000Z,2018-08-13T20:03:31.000Z,124.9,18.0,142.9,1,3,4,false,0,false,credit_card
0b555f0e6493540531a30e6cf25fb030,1,058d38732ce7f213cc8f62ffcf8fa0c5,e9b2560544c293e02f2b966041e10f24,c3cfdc648177fdbbbb35635a37472c53,20170525,DELIVERED,9280,2017-05-25T10:43:21.000Z,2017-05-30T16:37:45.000Z,155.0,17.37,172.37,1,4,5,false,0,true,credit_card
4436eb8a73f08dc5c4ba8b1e5b96d290,1,3ab417ebff3c831e7e9b12cc926a094a,51b10a13b460cebc64e1325e7f228ae8,d1b65fc7debc3361ea86b5f14c68d2e2,20170816,DELIVERED,8260,2017-08-16T23:47:01.000Z,2017-08-21T19:17:33.000Z,369.9,14.09,383.98999999999995,0,4,5,false,0,false,credit_card
